tipo_ambiente;superficie_m2;tecnologia;lumenes_requeridos_lm
aula;35,016;LED;27408,995
aula;35,087;LED;19284,027
aula;35,27;LED;23895,182
aula;35,299;LED;25149,561
aula;35,324;LED;26374,163
aula;35,501;LED;21704,685
aula;35,528;LED;23698,713
aula;35,546;LED;28455,957
aula;35,679;LED;19990,085
aula;35,713;LED;25439,201
aula;35,722;LED;17421,783
aula;35,83;LED;23648,329
aula;36,173;LED;19858,688
aula;36,23;LED;26618,068
aula;36,266;LED;23589,185
aula;36,278;LED;17622,608
aula;36,3;LED;27715,154
aula;36,55;LED;21672,613
aula;36,89;LED;26190,917
aula;36,898;LED;27901,743
aula;37,013;LED;23217,461
aula;37,054;LED;29609,152
aula;37,105;LED;19989,071
aula;37,157;LED;26022,41
aula;37,18;LED;23786,133
aula;37,278;LED;23702,299
aula;37,356;LED;17559,718
aula;37,406;LED;20756,163
aula;37,575;LED;18990,233
aula;37,638;LED;20437,847
aula;37,644;LED;20102,765
aula;37,767;LED;22867,468
aula;37,919;LED;22244,909
aula;37,955;LED;18810,644
aula;38,16;LED;21565,918
aula;38,271;LED;29328,409
aula;38,314;LED;29383,529
aula;38,358;LED;24720,562
aula;38,377;LED;27027,305
aula;38,426;LED;22956,862
aula;38,439;LED;29911,936
aula;38,441;LED;19786,086
aula;38,947;LED;31737,598
aula;39,027;LED;23695,691
aula;39,109;LED;24556,731
aula;39,242;LED;24340,808
aula;39,406;LED;32031,3
aula;39,534;LED;19797,175
aula;39,575;LED;18576,875
aula;39,849;LED;27508,88
aula;40,043;LED;30428,555
aula;40,2;LED;21715,854
aula;40,403;LED;25619,552
aula;40,451;LED;29323,122
aula;40,455;LED;27306,907
aula;40,579;LED;19664,025
aula;40,761;LED;35518,745
aula;40,763;LED;24563,37
aula;40,98;LED;26977,149
aula;41,035;LED;27980,015
aula;41,039;LED;26870,685
aula;41,076;LED;21481,172
aula;41,234;LED;30754,809
aula;41,277;LED;21845,552
